Time;Queue size: 0;Queue size: 1;Queue size: 2;Queue size: 3;Queue size: 4;Queue size: 5
0.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0
0.1;1.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0
0.1;1.0;0.0;0.0;0.0;0.0;0.0
0.2;1.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0
0.1;1.0;0.0;0.0;0.0;0.0;0.0
0.2;1.0;0.0;0.0;0.0;0.0;0.0
0.30000000000000004;1.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0
0.1;1.0;0.0;0.0;0.0;0.0;0.0
0.2;1.0;0.0;0.0;0.0;0.0;0.0
0.30000000000000004;1.0;0.0;0.0;0.0;0.0;0.0
0.4;1.0;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16
0.0;1.0;0.0;0.0;0.0;0.0;0.0
0.1;1.0;0.0;0.0;0.0;0.0;0.0
0.2;1.0;0.0;0.0;0.0;0.0;0.0
0.30000000000000004;1.0;0.0;0.0;0.0;0.0;0.0
0.4;1.0;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16
0.5;1.0;9.999999999843467E-6;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16
0.0;1.0;0.0;0.0;0.0;0.0;0.0
0.1;1.0;0.0;0.0;0.0;0.0;0.0
0.2;1.0;0.0;0.0;0.0;0.0;0.0
0.30000000000000004;1.0;0.0;0.0;0.0;0.0;0.0
0.4;1.0;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16
0.5;1.0;9.999999999843467E-6;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16
0.6000000000000001;1.0;5.099999999969018E-5;9.999999996956888E-7;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16
0.0;1.0;0.0;0.0;0.0;0.0;0.0
0.1;1.0;0.0;0.0;0.0;0.0;0.0
0.2;1.0;0.0;0.0;0.0;0.0;0.0
0.30000000000000004;1.0;0.0;0.0;0.0;0.0;0.0
0.4;1.0;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16
0.5;1.0;9.999999999843467E-6;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16
0.6000000000000001;1.0;5.099999999969018E-5;9.999999996956888E-7;-2.220446049250313E-16;-2.220446049250313E-16;-2.220446049250313E-16
