time?expected
50.1?0.0
50.1?0.32
50.1?0.5599999999999999
50.1?0.7656
50.1?0.9500079999999997
50.1?1.1197994399999995
50.1?1.2787316791999996
50.1?1.4291978028559995
50.1?1.5728313045080788
50.1?1.7108055789173535
50.1?1.8439967971492257
50.1?1.9730758614310884
50.1?2.0985631054826492
50.1?2.2208633825211908
50.1?2.3402906174087694
50.1?2.4570863436951735
50.1?2.571434437486035
50.1?2.6834731465664237
50.1?2.793305001871065
50.1?2.9010049734223817
50.1?3.006627135544628
50.1?3.110210061183384
50.1?3.2117811391234725
50.1?3.311359987393263
50.1?3.4089611166825833
50.1?3.504595978320306
50.1?3.5982745126144517
50.1?3.6900062957353486
50.1?3.7798013672760966
50.1?3.8676708064023178
50.1?3.9536271121709627
50.1?4.037684433091616
50.1?4.1198586821803245
50.1?4.200167566432047
50.1?4.27863055361773
50.1?4.355268794404482
50.1?4.430105013825405
50.1?4.503163382931846
50.1?4.5744693789078905
50.1?4.644049639897849
50.1?4.711931819194165
50.1?4.7781444421734225
50.1?4.842716768384805
50.1?4.905678660432961
50.1?4.967060460711042
50.1?5.026892876593081
50.1?5.085206874358692
50.1?5.142033581873588
50.1?5.197404199867817
50.1?5.251349921524904
50.1?5.303901860007048
50.1?5.5891437052945925
50.1?5.62552894552016
50.1?5.664508157522981
50.1?5.703856583524271
50.1?5.742959552240091
50.1?5.781528991373264
50.1?5.81941464207126
50.1?5.8565322979109355
50.1?5.892834081817668
50.1?5.9282937763772185
50.1?5.962898874279332
50.1?5.996645996481179
50.1?6.029538099040671
50.1?6.061582670363353
50.1?6.092790501418662
50.1?6.123174805397488
50.1?6.152750563543595
50.1?6.18153402629239
50.1?6.209542326682907
50.1?6.236793178205698
50.1?6.263304637908945
50.1?6.289094920813392
50.1?6.31418225506367
50.1?6.338584769576812
50.1?6.362320407656069
50.1?6.385406861342174
50.1?6.407861522298541
50.1?6.429701445845119
50.1?6.450943325415101
50.1?6.471603475242219
50.1?6.491697819518445
50.1?6.511241886611742
50.1?6.53025080721617
50.1?6.548739315534813
50.1?6.566721752779713
50.1?6.584212072420592
50.1?6.60122384673274
50.1?6.617770274289174
50.1?6.633864188118155
50.1?6.649518064307577
50.1?6.664744030885991
50.1?6.679553876848365
50.1?6.693959061225045
50.1?6.707970722116546
50.1?6.721599685635734
50.1?6.734856474714018
50.1?6.747751317739883
50.1?6.760294157007355
50.1?6.7724946569591244
50.1?6.784362212214621
50.1?6.795905955377659
50.1?7.049881462143686
50.1?7.042039019958487
50.1?7.039718110626625
