time,expected
0.0,0.0
0.001,0.0015
0.002,0.0029937856500000005
0.003,0.004481392016955615
0.004,0.00596285393132499
0.005,0.00743820598883917
0.006,0.008907482552258305
0.007,0.010370717753113821
0.008,0.011827945493436671
0.009000000000000001,0.013279199447471763
0.01,0.014724513063378719
0.011,0.016163919564919024
0.012,0.017597451953129787
0.013000000000000001,0.019025143007984007
0.014,0.020447025290037793
0.015,0.02186313114206427
0.016,0.023273492690674604
0.017,0.02467814184792601
0.018000000000000002,0.026077110312917078
0.019,0.027470429573370255
0.02,0.028858130907201865
0.021,0.030240245384079576
0.022,0.03161680386696751
0.023,0.03298783701365905
0.024,0.03435337527829752
0.025,0.03571344891288472
0.026000000000000002,0.03706808796877759
0.027,0.03841732229817285
0.028,0.03976118155558002
0.029,0.04109969519928265
0.03,0.04243289249278804
0.031,0.043760802506265455
0.032,0.04508345411797286
0.033,0.04640087601567261
0.034,0.0477130966980356
0.035,0.04902014447603456
0.036000000000000004,0.05032204747432629
0.037,0.05161883363262289
0.038,0.05291053070705216
0.039,0.054197166271507405
0.04,0.05547876771898644
0.041,0.056755362262919974
0.042,0.05802697693848979
0.043000000000000003,0.05929363860393619
0.044,0.06055537394185537
0.045,0.061812209460486545
0.046,0.06306417149498873
0.047,0.06431128620870792
0.048,0.06555357959443363
0.049,0.06679107747564636
0.05,0.06802380550775443
0.051000000000000004,0.0692517891793218
0.052000000000000005,0.07047505381328571
0.053,0.07169362456816512
0.054,0.07290752643925952
0.055,0.07411678425983821
0.056,0.07532142270232049
0.057,0.0765214662794466
0.058,0.07771693934543904
0.059000000000000004,0.07890786609715543
0.06,0.08009427057523191
0.061,0.08127617666521772
0.062,0.08245360809870093
0.063,0.08362658845442525
0.064,0.0847951411593983
0.065,0.08595928948999106
0.066,0.08711905657302876
0.067,0.08827446538687331
0.068,0.08942553876249722
0.069,0.09057229938454907
0.07,0.09171476979241114
0.07100000000000001,0.0928529723812479
0.07200000000000001,0.09398692940304726
0.073,0.09511666296765305
0.074,0.09624219504378985
0.075,0.09736354746007975
0.076,0.09848074190605088
0.077,0.09959379993313888
0.078,0.10070274295567953
0.079,0.10180759225189455
0.08,0.10290836896486932
0.081,0.10400509410352317
0.082,0.10509778854357199
0.083,0.10618647302848348
0.084,0.10727116817042501
0.085,0.10835189445120402
0.08600000000000001,0.10942867222320136
0.08700000000000001,0.11050152171029713
0.088,0.11157046300878952
0.089,0.11263551608830642
0.09,0.11369670079271019
0.091,0.11475403684099533
0.092,0.11580754382817901
0.093,0.11685724122618503
0.094,0.11790314838472092
0.095,0.11894528453214791
0.096,0.11998366877634477
0.097,0.12101832010556451
0.098,0.12204925738928459
0.099,0.12307649937905084
0.1,0.12410006470931459
0.101,0.12511997189826327
0.10200000000000001,0.1261362393486452
0.10300000000000001,0.1271488853485873
0.10400000000000001,0.12815792807240683
0.105,0.12916338558141727
0.106,0.13016527582472734
0.107,0.13116361664003415
0.108,0.1321584257544106
0.109,0.1331497207850865
0.11,0.13413751924022319
0.111,0.13512183851968293
0.112,0.1361026959157927
0.113,0.13708010861410055
0.114,0.13805409369412822
0.115,0.13902466813011644
0.116,0.13999184879176527
0.117,0.14095565244496866
0.11800000000000001,0.14191609575254327
0.11900000000000001,0.1428731952749518
0.12,0.14382696747102094
0.121,0.14477742869865362
0.122,0.1457245952155358
0.123,0.1466684831798383
0.124,0.14760910865091253
0.125,0.14854648758998187
0.126,0.14948063586082694
0.127,0.15041156923046609
0.128,0.15133930336983073
0.129,0.15226385385443514
0.13,0.1531852361650421
0.131,0.15410346568832187
0.132,0.15501855771750814
0.133,0.15593052745304728
0.134,0.15683939000324382
0.135,0.15774516038490038
0.136,0.15864785352395305
0.137,0.15954748425610188
0.138,0.16044406732743666
0.139,0.1613376173950578
0.14,0.16222814902769267
0.14100000000000001,0.16311567670630725
0.14200000000000002,0.16400021482471328
0.14300000000000002,0.16488177769017037
0.14400000000000002,0.1657603795239841
0.145,0.16663603446209932
0.146,0.16750875655568925
0.147,0.16837855977173968
0.148,0.16924545799362897
0.149,0.17010946502170407
0.15,0.1709705945738516
0.151,0.17182886028606495
0.152,0.17268427571300718
0.153,0.17353685432856947
0.154,0.1743866095264253
0.155,0.17523355462058132
0.156,0.17607770284592258
0.157,0.176919067358755
0.158,0.1777576612373432
0.159,0.17859349748244424
0.16,0.1794265890178377
0.161,0.18025694869085152
0.162,0.1810845892728838
0.163,0.18190952345992112
0.164,0.18273176387305254
0.165,0.18355132305898017
0.166,0.18436821349052535
0.167,0.185182447567132
0.168,0.1859940376153648
0.169,0.18680299588940533
0.17,0.18760933457154308
0.171,0.1884130657726635
0.17200000000000001,0.18921420153273263
0.17300000000000001,0.19001275382127714
0.17400000000000002,0.190808734537862
0.17500000000000002,0.19160215551256396
0.176,0.19239302850644138
0.177,0.19318136521200086
0.178,0.19396717725366036
0.179,0.19475047618820893
0.18,0.19553127350526264
0.181,0.19630958062771797
0.182,0.19708540891220078
0.183,0.19785876964951266
0.184,0.19862967406507387
0.185,0.19939813331936296
0.186,0.20016415850835295
0.187,0.20092776066394444
0.188,0.20168895075439564
0.189,0.20244773968474916
0.19,0.2032041382972552
0.191,0.20395815737179263
0.192,0.2047098076262857
0.193,0.2054590997171187
0.194,0.20620604423954733
0.195,0.2069506517281063
0.196,0.20769293265701524
0.197,0.2084328974405803
0.198,0.20917055643359392
0.199,0.20990591993173055
0.2,0.2106389981719408
0.201,0.2113698013328414
0.202,0.21209833953510304
0.203,0.2128246228418352
0.20400000000000001,0.21354866125896813
