time,expected
52.386,7.698283560821016
52.387,7.698289178225561
52.388,7.698294795120042
52.389,7.698300411504487
52.39,7.698306027378929
52.391,7.698311642743397
52.392,7.698317257597919
52.393,7.698322871942526
52.394,7.698328485777248
52.395,7.698334099102113
52.396,7.698339711917156
52.397,7.698345324222401
52.398,7.698350936017881
52.399,7.698356547303625
52.4,7.698362158079663
52.401,7.698367768346024
52.402,7.698373378102742
52.403,7.698378987349843
52.404,7.698384596087358
52.405,7.6983902043153165
52.406,7.698395812033748
52.407000000000004,7.698401419242687
52.408,7.69840702594216
52.409,7.698412632132195
52.410000000000004,7.698418237812827
52.411,7.6984238429840826
52.412,7.698429447645995
52.413000000000004,7.69843505179859
52.414,7.698440655441901
52.415,7.698446258575958
52.416000000000004,7.698451861200791
52.417,7.69845746331643
52.418,7.698463064922905
52.419000000000004,7.698468666020245
52.42,7.698474266608484
52.421,7.698479866687648
52.422000000000004,7.698485466257771
52.423,7.698491065318881
52.424,7.698496663871009
52.425000000000004,7.698502261914186
52.426,7.6985078594484415
52.427,7.698513456473805
52.428000000000004,7.69851905299031
52.429,7.698524648997983
52.43,7.698530244496858
52.431000000000004,7.698535839486965
52.432,7.698541433968331
52.433,7.698547027940991
52.434000000000005,7.698552621404973
52.435,7.6985582143603075
52.436,7.698563806807027
52.437,7.698569398745159
52.438,7.698574990174738
52.439,7.69858058109579
52.44,7.698586171508349
52.441,7.698591761412444
52.442,7.698597350808106
52.443,7.698602939695367
52.444,7.6986085280742556
52.445,7.698614115944804
52.446,7.698619703307041
52.447,7.698625290161001
52.448,7.698630876506712
52.449,7.698636462344205
52.45,7.69864204767351
52.451,7.69864763249466
52.452,7.698653216807683
52.453,7.6986588006126135
52.454,7.698664383909479
52.455,7.698669966698313
52.456,7.6986755489791445
52.457,7.698681130752005
52.458,7.698686712016924
52.459,7.698692292773934
52.46,7.698697873023068
52.461,7.698703452764352
52.462,7.69870903199782
52.463,7.698714610723503
52.464,7.698720188941431
52.465,7.698725766651636
52.466,7.698731343854149
52.467,7.698736920549001
52.468,7.698742496736221
52.469,7.698748072415843
52.47,7.698753647587896
52.471000000000004,7.698759222252413
52.472,7.698764796409423
52.473,7.698770370058957
52.474000000000004,7.698775943201049
52.475,7.698781515835728
52.476,7.6987870879630265
52.477000000000004,7.698792659582974
52.478,7.698798230695603
52.479,7.698803801300944
52.480000000000004,7.698809371399027
52.481,7.6988149409898865
52.482,7.698820510073552
52.483000000000004,7.698826078650056
52.484,7.698831646719427
52.485,7.698837214281697
52.486000000000004,7.6988427813369
52.487,7.698848347885066
52.488,7.698853913926223
52.489000000000004,7.698859479460408
52.49,7.698865044487649
52.491,7.698870609007979
52.492000000000004,7.698876173021427
52.493,7.698881736528027
52.494,7.698887299527809
52.495000000000005,7.698892862020804
52.496,7.698898424007046
52.497,7.698903985486563
52.498,7.69890954645939
52.499,7.698915106925556
52.5,7.698920666885095
52.501,7.698926226338035
52.502,7.69893178528441
52.503,7.698937343724252
52.504,7.69894290165759
52.505,7.698948459084459
52.506,7.698954016004889
52.507,7.69895957241891
52.508,7.698965128326556
52.509,7.698970683727857
52.51,7.698976238622846
52.511,7.698981793011555
52.512,7.698987346894013
52.513,7.698992900270255
52.514,7.6989984531403115
52.515,7.699004005504214
52.516,7.699009557361995
52.517,7.699015108713683
52.518,7.699020659559315
52.519,7.6990262098989195
52.52,7.699031759732529
52.521,7.699037309060174
52.522,7.69904285788189
52.523,7.699048406197706
52.524,7.6990539540076535
52.525,7.699059501311765
52.526,7.699065048110073
52.527,7.6990705944026105
52.528,7.6990761401894074
52.529,7.699081685470496
52.53,7.699087230245909
52.531,7.699092774515678
52.532000000000004,7.699098318279835
52.533,7.6991038615384095
52.534,7.699109404291439
52.535000000000004,7.699114946538952
52.536,7.69912048828098
52.537,7.699126029517556
52.538000000000004,7.699131570248713
52.539,7.699137110474481
52.54,7.699142650194892
52.541000000000004,7.699148189409982
52.542,7.699153728119779
52.543,7.699159266324318
52.544000000000004,7.699164804023628
52.545,7.6991703412177435
52.546,7.699175877906697
52.547000000000004,7.699181414090519
52.548,7.699186949769242
52.549,7.699192484942898
52.550000000000004,7.699198019611522
52.551,7.699203553775144
52.552,7.699209087433795
52.553000000000004,7.699214620587509
52.554,7.699220153236318
52.555,7.699225685380254
52.556000000000004,7.69923121701935
52.557,7.699236748153638
52.558,7.69924227878315
52.559000000000005,7.699247808907918
52.56,7.699253338527975
52.561,7.699258867643353
52.562,7.699264396254086
52.563,7.699269924360204
52.564,7.69927545196174
52.565,7.6992809790587255
52.566,7.699286505651197
52.567,7.699292031739183
52.568,7.6992975573227165
52.569,7.699303082401831
52.57,7.69930860697656
52.571,7.699314131046933
52.572,7.699319654612984
52.573,7.699325177674746
52.574,7.699330700232251
52.575,7.699336222285532
52.576,7.69934174383462
52.577,7.699347264879551
52.578,7.699352785420354
52.579,7.699358305457063
52.58,7.699363824989712
52.581,7.69936934401833
52.582,7.699374862542953
52.583,7.699380380563613
52.584,7.699385898080341
52.585,7.699391415093172
52.586,7.699396931602135
52.587,7.699402447607269
52.588,7.6994079631086
52.589,7.699413478106164
52.59,7.699418992599995
52.591,7.699424506590122
52.592,7.699430020076582
52.593,7.699435533059404
52.594,7.699441045538624
52.595,7.699446557514272
52.596000000000004,7.699452068986382
52.597,7.699457579954988
52.598,7.699463090420121
52.599000000000004,7.699468600381813
52.6,7.699474109840101
52.601,7.699479618795014
52.602000000000004,7.699485127246585
52.603,7.6994906351948496
52.604,7.699496142639838
52.605000000000004,7.699501649581585
52.606,7.699507156020122
52.607,7.699512661955483
52.608000000000004,7.699518167387701
52.609,7.699523672316809
52.61,7.699529176742837
52.611000000000004,7.699534680665823
52.612,7.699540184085799
52.613,7.699545687002794
52.614000000000004,7.699551189416843
52.615,7.699556691327981
52.616,7.69956219273624
52.617000000000004,7.699567693641652
52.618,7.69957319404425
52.619,7.699578693944069
52.620000000000005,7.699584193341142
52.621,7.699589692235499
52.622,7.699595190627177
52.623,7.699600688516204
52.624,7.699606185902619
52.625,7.699611682786451
52.626,7.699617179167737
52.627,7.699622675046506
52.628,7.699628170422794
52.629,7.699633665296633
52.63,7.699639159668058
52.631,7.699644653537099
52.632,7.699650146903791
52.633,7.699655639768167
52.634,7.6996611321302595
52.635,7.699666623990105
52.636,7.699672115347733
52.637,7.6996776062031795
52.638,7.699683096556475
52.639,7.699688586407655
52.64,7.699694075756753
52.641,7.6996995646038
52.642,7.699705052948832
52.643,7.69971054079188
52.644,7.69971602813298
52.645,7.699721514972163
52.646,7.699727001309464
52.647,7.6997324871449155
52.648,7.69973797247855
52.649,7.699743457310404
52.65,7.699748941640507
52.651,7.699754425468897
52.652,7.699759908795603
52.653,7.6997653916206605
52.654,7.699770873944102
52.655,7.699776355765964
52.656,7.6997818370862765
52.657000000000004,7.699787317905074
52.658,7.69979279822239
52.659,7.6997982780382594
52.660000000000004,7.699803757352715
52.661,7.699809236165788
52.662,7.699814714477515
52.663000000000004,7.6998201922879295
52.664,7.699825669597063
52.665,7.699831146404951
52.666000000000004,7.699836622711626
52.667,7.699842098517122
52.668,7.699847573821473
52.669000000000004,7.6998530486247105
52.67,7.699858522926871
52.671,7.699863996727989
52.672000000000004,7.699869470028093
52.673,7.699874942827222
52.674,7.699880415125406
52.675000000000004,7.699885886922681
52.676,7.699891358219082
52.677,7.699896829014638
52.678000000000004,7.699902299309386
52.679,7.699907769103359
52.68,7.699913238396593
52.681000000000004,7.699918707189117
52.682,7.699924175480969
52.683,7.6999296432721795
52.684000000000005,7.699935110562786
52.685,7.699940577352819
52.686,7.699946043642314
52.687,7.699951509431305
52.688,7.699956974719825
52.689,7.6999624395079085
52.69,7.699967903795589
52.691,7.699973367582899
52.692,7.699978830869874
52.693,7.69998429365655
52.694,7.699989755942956
52.695,7.699995217729129
52.696,7.700000679015103
52.697,7.7000061398009105
52.698,7.700011600086588
52.699,7.700017059872166
52.7,7.70002251915768
52.701,7.700027977943165
52.702,7.700033436228654
52.703,7.700038894014181
52.704,7.70004435129978
52.705,7.700049808085485
52.706,7.700055264371329
52.707,7.700060720157349
52.708,7.700066175443576
52.709,7.700071630230045
52.71,7.700077084516791
52.711,7.700082538303847
52.712,7.700087991591246
52.713,7.700093444379027
52.714,7.7000988966672175
52.715,7.700104348455855
52.716,7.700109799744974
52.717,7.700115250534607
52.718,7.70012070082479
52.719,7.700126150615556
52.72,7.700131599906938
52.721000000000004,7.7001370486989735
52.722,7.7001424969916945
52.723,7.700147944785135
52.724000000000004,7.700153392079329
52.725,7.700158838874312
52.726,7.700164285170118
52.727000000000004,7.700169730966779
52.728,7.700175176264331
52.729,7.70018062106281
52.730000000000004,7.700186065362248
52.731,7.7001915091626785
52.732,7.700196952464137
52.733000000000004,7.700202395266659
52.734,7.700207837570277
52.735,7.700213279375024
52.736000000000004,7.7002187206809385
52.737,7.700224161488051
52.738,7.700229601796399
52.739000000000004,7.700235041606014
52.74,7.700240480916931
52.741,7.700245919729184
52.742000000000004,7.700251358042809
52.743,7.7002567958578405
52.744,7.700262233174312
52.745000000000005,7.700267669992257
52.746,7.700273106311711
52.747,7.7002785421327085
52.748,7.700283977455284
52.749,7.700289412279469
52.75,7.700294846605302
52.751,7.700300280432815
52.752,7.700305713762044
52.753,7.700311146593022
52.754,7.700316578925786
52.755,7.700322010760367
52.756,7.700327442096803
52.757,7.7003328729351255
52.758,7.700338303275371
52.759,7.700343733117574
52.76,7.700349162461766
52.761,7.700354591307985
52.762,7.700360019656264
52.763,7.700365447506638
52.764,7.700370874859143
52.765,7.700376301713811
52.766,7.700381728070676
52.767,7.700387153929777
52.768,7.700392579291144
52.769,7.700398004154815
52.77,7.70040342852082
52.771,7.7004088523892005
52.772,7.700414275759986
52.773,7.700419698633212
52.774,7.700425121008913
52.775,7.7004305428871245
52.776,7.700435964267881
52.777,7.700441385151218
52.778,7.70044680553717
52.779,7.700452225425769
52.78,7.700457644817051
52.781,7.700463063711055
52.782000000000004,7.70046848210781
52.783,7.700473900007353
52.784,7.700479317409718
52.785000000000004,7.700484734314941
52.786,7.7004901507230565
52.787,7.700495566634099
52.788000000000004,7.700500982048103
52.789,7.700506396965103
52.79,7.700511811385135
52.791000000000004,7.700517225308234
52.792,7.700522638734432
52.793,7.700528051663766
52.794000000000004,7.700533464096271
52.795,7.700538876031981
52.796,7.700544287470931
52.797000000000004,7.700549698413157
52.798,7.700555108858692
52.799,7.700560518807572
52.800000000000004,7.700565928259832
52.801,7.700571337215505
52.802,7.7005767456746295
52.803000000000004,7.700582153637238
52.804,7.700587561103366
52.805,7.700592968073048
52.806000000000004,7.700598374546317
52.807,7.7006037805232115
52.808,7.700609186003765
52.809000000000005,7.700614590988012
52.81,7.700619995475989
52.811,7.700625399467729
52.812,7.700630802963268
52.813,7.70063620596264
52.814,7.700641608465881
52.815,7.700647010473026
52.816,7.700652411984111
52.817,7.700657812999169
52.818,7.700663213518235
52.819,7.700668613541345
52.82,7.700674013068536
52.821,7.700679412099839
52.822,7.700684810635291
52.823,7.700690208674928
52.824,7.700695606218784
52.825,7.700701003266895
52.826,7.7007063998192935
52.827,7.700711795876016
52.828,7.7007171914371
52.829,7.700722586502577
52.83,7.700727981072484
52.831,7.700733375146858
52.832,7.70073876872573
52.833,7.700744161809139
52.834,7.700749554397116
52.835,7.700754946489699
52.836,7.700760338086924
